epoch,val_dice,patience,left_ventricle,right_ventricle,left_atrium,right_atrium,myocardium,aorta,pulmonary_artery
1,0.24954164028167725,0,0.3847951889038086,0.10180401057004929,0.49284324049949646,0.42086753249168396,0.2595910131931305,0.09972459822893143,0.25230905413627625
2,0.39774489402770996,0,0.5841522216796875,0.5131943821907043,0.7121617794036865,0.5258501768112183,0.48817795515060425,0.10983441770076752,0.20450884103775024
3,0.5388134717941284,0,0.6512880921363831,0.7359050512313843,0.693308413028717,0.5732369422912598,0.5673037767410278,0.6255263090133667,0.07664938271045685
4,0.637873649597168,0,0.710820198059082,0.7062814235687256,0.8245708346366882,0.7054418325424194,0.6123642921447754,0.7910293936729431,0.33985382318496704
5,0.6999959349632263,0,0.7182716131210327,0.7015857696533203,0.774997353553772,0.6699866056442261,0.7162973284721375,0.850401759147644,0.5174914598464966
6,0.7384993433952332,0,0.7415933609008789,0.7566081881523132,0.8287366032600403,0.674247145652771,0.7724208235740662,0.8985350131988525,0.5076627135276794
7,0.7199277281761169,1,0.7376052141189575,0.6903532147407532,0.8031145930290222,0.6916908025741577,0.7443141341209412,0.8927482962608337,0.5194129943847656
8,0.7585920691490173,0,0.7536047697067261,0.7297634482383728,0.8454740643501282,0.7059028744697571,0.8101727962493896,0.9042407870292664,0.5673155188560486
9,0.7475802302360535,1,0.7457371354103088,0.7070684432983398,0.8149246573448181,0.7074226140975952,0.8137818574905396,0.9069592356681824,0.5278510451316833
10,0.7370555996894836,2,0.7177905440330505,0.7219641208648682,0.782839834690094,0.6942307353019714,0.7835341095924377,0.916361391544342,0.4997103214263916
11,0.7447922229766846,3,0.7419962882995605,0.7352354526519775,0.8222053647041321,0.7080004811286926,0.7737290263175964,0.9093421101570129,0.5632094740867615
12,0.7554450631141663,4,0.7358731627464294,0.7597684264183044,0.8206560611724854,0.7212597131729126,0.7762351632118225,0.92466801404953,0.5861373543739319
13,0.7519169449806213,5,0.7334014773368835,0.7197720408439636,0.8217660188674927,0.7011087536811829,0.8048467040061951,0.9181622862815857,0.5556308627128601
14,0.7340773940086365,6,0.7134488224983215,0.6765595078468323,0.790841817855835,0.7306414842605591,0.7897033095359802,0.913203239440918,0.5524333119392395
15,0.7221981883049011,7,0.7141814231872559,0.7277817130088806,0.7847639918327332,0.6974095702171326,0.7614458799362183,0.9055525660514832,0.5442911982536316
16,0.7446104288101196,8,0.7379689812660217,0.7011910080909729,0.8287057280540466,0.7187929749488831,0.7858974933624268,0.9236789345741272,0.5544930100440979
17,0.7366705536842346,9,0.7300708293914795,0.7198230624198914,0.7694538235664368,0.6878675222396851,0.7744879722595215,0.9275627136230469,0.5398038029670715
18,0.7343965768814087,10,0.729255199432373,0.6656531095504761,0.8016191720962524,0.712081789970398,0.795872151851654,0.9100969433784485,0.5448108911514282
19,0.7283921837806702,11,0.7289526462554932,0.6855815649032593,0.7859382629394531,0.6736264824867249,0.7673110961914062,0.9175628423690796,0.5552085041999817
20,0.717167317867279,12,0.6893761157989502,0.6570313572883606,0.7747566103935242,0.6882508993148804,0.7814564108848572,0.9038657546043396,0.5707948207855225
21,0.7396014928817749,13,0.7421940565109253,0.7193439602851868,0.7971125245094299,0.7318181991577148,0.8007243275642395,0.9145269393920898,0.5550095438957214
22,0.7329773306846619,14,0.7352778315544128,0.7226777672767639,0.8110671639442444,0.6673508286476135,0.7849923968315125,0.9202408194541931,0.5567310452461243
23,0.701621949672699,15,0.7315298318862915,0.6797661185264587,0.8132615089416504,0.6794305443763733,0.7684674263000488,0.8833138942718506,0.5733233094215393
24,0.7401555776596069,16,0.736339271068573,0.6917306184768677,0.8003615736961365,0.707347571849823,0.8090981245040894,0.9207898378372192,0.569883406162262
25,0.7263923287391663,17,0.7256167531013489,0.6856197714805603,0.8009594678878784,0.6969695091247559,0.7979384064674377,0.9053561091423035,0.5620213150978088
26,0.7172813415527344,18,0.7558125257492065,0.7401353716850281,0.8411008715629578,0.6827337741851807,0.809669017791748,0.8663746118545532,0.5757163166999817
27,0.7314803004264832,19,0.7276334762573242,0.676859438419342,0.810463547706604,0.7102094292640686,0.7895745038986206,0.9172648787498474,0.561008095741272
28,0.7277114391326904,20,0.7346975207328796,0.6755778789520264,0.8255547285079956,0.6629751324653625,0.7888288497924805,0.9236325025558472,0.5497199892997742
29,0.7356088161468506,21,0.7327417731285095,0.6936989426612854,0.7957243323326111,0.7307753562927246,0.8125506639480591,0.906624972820282,0.5501300692558289
30,0.7181100249290466,22,0.7343714237213135,0.7008840441703796,0.7995336055755615,0.692284345626831,0.7950119972229004,0.8885376453399658,0.5911475419998169
31,0.72393798828125,23,0.7335094809532166,0.696586549282074,0.7913795113563538,0.7038161754608154,0.8027476668357849,0.8994116187095642,0.5655736327171326
32,0.7292587757110596,24,0.739851713180542,0.6889376044273376,0.8122816681861877,0.686312198638916,0.7829235196113586,0.9152586460113525,0.5707863569259644
33,0.7222592234611511,25,0.7350157499313354,0.6730902194976807,0.8132478594779968,0.7223458886146545,0.822790265083313,0.8819795846939087,0.5643184781074524
